target_id,target_path,target_line,source_id,source_path,source_line,method,score,exact_shared_shingles,target_preview,source_preview
8420bb22050f1fb7,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,c29138ef364a1d0d,docs\thesis\sources\2403.10617v1-depreciation-cost-poor-proxy-grid-storage-optimization.pdf,1,semantic_embedding,0.8542,0,1016/j.rser.2022.112584. https://doi.org/10.1016/j.rser.2022.112584 10. Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. https://doi.org/10.3390/en12060999 11. Maheshwari et al. Optimi,y wang and a jossen energy arbitrage optimization with battery storage 3d-milp for electro-thermal performance and semi-empirical aging models ieee access vol 8 pp 204 325 204 341 2020 6 n collath m cornejo v engwerth h hesse and a jossen increasing the lifetime profitability of 
1333d43b2aea824a,docs\thesis\chapters\02-literature-review.md,115,9aa344a7e40aef75,docs\thesis\sources\2512.01046-shielded-controller-units-rl-microgrids.pdf,1,semantic_embedding,0.8533,0,"ACCESS.2020.3035504) 46. <a id=""source-46""></a>Cao et al. Deep Reinforcement Learning-Based Energy Storage Arbitrage With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. [https://doi.org/10.1109/TSG.2020.2986333](https://doi.org/10.1109/TSG.2020.298",org abs 1904 07189 arxiv 1904 07189 cs jun cao dan harrold zhong fan thomas morstyn david healey and kang li deep rein- forcement learning-based energy storage arbitrage with accurate lithium-ion battery degradation model ieee transactions on smart grid 11 5 4513 4521 september 2
bc8c7255b84f56e1,docs\thesis\chapters\02-literature-review.md,115,e39cfbef2c1b8510,docs\thesis\sources\energies-12-00999-v2.pdf,1,semantic_embedding,0.851,0,"al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. [https://doi.org/10.3390/en12060999](https://doi.org/10.3390/en12060999) 11. <a id=""source-11""></a>Maheshwari et al. Optimizing the operation of",for the most pro table arbitrage use case considered herein the ndings underline the signi cance of considering both ageing and ef ciency in battery system dispatch optimisation keywords ef ciency storage battery ageing arbitrage market optimisation mixed-integer-linear- programm
1333d43b2aea824a,docs\thesis\chapters\02-literature-review.md,115,e41ae654839a8f6b,docs\thesis\sources\2305.00362v1-electricity-price-prediction-ess-arbitrage-dfl.pdf,1,semantic_embedding,0.849,0,"ACCESS.2020.3035504) 46. <a id=""source-46""></a>Cao et al. Deep Reinforcement Learning-Based Energy Storage Arbitrage With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. [https://doi.org/10.1109/TSG.2020.2986333](https://doi.org/10.1109/TSG.2020.298",z fan t morstyn d healey and k li deep reinforcement learning-based energy storage arbitrage with accurate lithium-ion battery degradation model ieee trans smart grid vol 11 no 5 pp 4513 4521 sept 2020 25 e pusceddu b zakeri and g castagneto gissey synergies between energy arbitr
8420bb22050f1fb7,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,e39cfbef2c1b8510,docs\thesis\sources\energies-12-00999-v2.pdf,1,semantic_embedding,0.8458,0,1016/j.rser.2022.112584. https://doi.org/10.1016/j.rser.2022.112584 10. Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. https://doi.org/10.3390/en12060999 11. Maheshwari et al. Optimi,for the most pro table arbitrage use case considered herein the ndings underline the signi cance of considering both ageing and ef ciency in battery system dispatch optimisation keywords ef ciency storage battery ageing arbitrage market optimisation mixed-integer-linear- programm
8420bb22050f1fb7,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,ccfe23343207da72,docs\thesis\sources\literature-review-source-audit-2026-05-20.md,1,semantic_embedding,0.8363,0,1016/j.rser.2022.112584. https://doi.org/10.1016/j.rser.2022.112584 10. Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. https://doi.org/10.3390/en12060999 11. Maheshwari et al. Optimi,arxiv 1910 12430' arxiv api pass correct cvxpylayers paper 9 vykhodtsev et al lithium-ion bess modelling review doi 10 1016 j rser 2022 112584' crossref pass correct battery modelling review 10 hesse et al ageing efficiency-aware battery dispatch milp doi 10 3390 en12060999' cros
1fc7334ff07227a3,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,5569e33111af510f,docs\thesis\sources\782f235253679294adf311ea6a00c3c604b6.pdf,1,semantic_embedding,0.8359,0,With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. https://doi.org/10.1109/TSG.2020.2986333 47. Li and Becker. Day-ahead electricity price prediction applying hybrid models of LSTM-based deep learning methods and feature selection algorithms under,m han s h deep gaussian process regression for lithium-ion battery health prognosis and degradation mode diagnosis j power sources 2020 445 227281 crossref batteries 2024 10 220 32 of 32 155 rauf h khalid m arshad n machine learning in state of health and remaining useful life es
1fc7334ff07227a3,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,8900a15d01cc8a5d,docs\thesis\sources\Exploring Lithium-Ion Battery Degradation.pdf,1,semantic_embedding,0.8359,0,With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. https://doi.org/10.1109/TSG.2020.2986333 47. Li and Becker. Day-ahead electricity price prediction applying hybrid models of LSTM-based deep learning methods and feature selection algorithms under,m han s h deep gaussian process regression for lithium-ion battery health prognosis and degradation mode diagnosis j power sources 2020 445 227281 crossref batteries 2024 10 220 32 of 32 155 rauf h khalid m arshad n machine learning in state of health and remaining useful life es
315aac828154028f,docs\thesis\chapters\02-literature-review.md,115,3e36340e04c3e2bc,docs\thesis\sources\Deep_Learning_for_Electricity_Price_Forecasting_A_.pdf,1,semantic_embedding,0.83,0,"https://arxiv.org/abs/2402.19072](https://arxiv.org/abs/2402.19072) 16. <a id=""source-16""></a>Yu et al. Deep Learning for Electricity Price Forecasting: A Review of Day-Ahead, Intraday, and Balancing Electricity Markets. DOI: 10.48550/arXiv.2602.10071. [https://arxiv.org/abs/2602",deep learning for electricity price forecasting a review of day-ahead intraday and balancing electricity markets runyao yu1 2 derek w bunn 3 julia lin 2 jochen stiasny 1 fabian leimgruber 2 tara esterl 2 yuchen tao4 lianlian qi 2 5 yujie chen 6 wentao wang7 jochen l cremer 1 2 1d
bc8c7255b84f56e1,docs\thesis\chapters\02-literature-review.md,115,c025f4574c400a46,docs\thesis\sources\energies-12-00999-v2.pdf,1,semantic_embedding,0.8294,0,"al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. [https://doi.org/10.3390/en12060999](https://doi.org/10.3390/en12060999) 11. <a id=""source-11""></a>Maheshwari et al. Optimizing the operation of",energies article ageing and ef ciency aware battery dispatch for arbitrage markets using mixed integer linear programming holger c hesse 1 volkan kumtepeli 2 michael schimpe 1 jorn reniers 3 4 david a howey 3 anshuman tripathi 5 youyi wang 6 and andreas jossen 1 1 department of e
